Year,Sample_Code,Group,Sample,Easting,Northing,Longitude,Latitude,Drain,Zone,salinity,Sal_zone,pH,EC,Cl,NOx_N,PO4_P,SO4_S,Al,As,B,Ba,Ca,Co,Cr,Cu,Fe,K,Li,Mg,Mn,Mo,Na,Ni,P,Rb,S,Si,Sr,V,Zn,La,Nd,Gd
2019,2019_05_1.1,5,1.1,400310,6468224,115.9455502,-31.91749753,Chapman,Chapman_M,Fresh,CD_fresh,6.96,2880,NA,NA,NA,NA,NA,0.045264048,0.366980183,0.087531432,63.08024058,NA,0.001917844,NA,14.949135,25.59252265,0.017874361,55.00080103,0.46183599,0.001357995,480.4790628,NA,0.322280028,0.034126795,13.87213203,10.21603768,0.535973785,0.010404795,NA,NA,NA,NA
2019,2019_05_1.2,5,1.2,400310,6468224,115.9455502,-31.91749753,Chapman,Chapman_M,Fresh,CD_fresh,6.88,3400,NA,NA,NA,NA,0.072832162,0.055102747,0.416920115,0.107461849,71.30864302,NA,0.001000905,NA,16.38729615,46.14368268,0.021271413,65.14210676,0.65744648,0.001677529,582.0362377,NA,0.377810418,0.040217244,20.43092943,9.92426385,0.626574596,0.010426192,0.006576998,NA,NA,NA
2019,2019_05_2.1,5,2.1,400303,6468216,115.9454754,-31.91756908,Chapman,Chapman_M,Fresh,CD_fresh,7.16,3910,NA,NA,NA,NA,0.037940871,0.039193012,0.459392794,0.045196702,56.78753202,NA,0.002781541,0.037371788,2.095887787,38.73194615,0.021862311,76.77394226,0.417507117,0.0020624,678.3316403,NA,0.587476408,0.038782361,24.28253922,8.248094153,0.551284684,0.011849002,0.009577765,NA,NA,NA
2019,2019_05_2.2,5,2.2,400303,6468216,115.9454754,-31.91756908,Chapman,Chapman_M,Fresh,CD_fresh,7.01,2525,NA,NA,NA,NA,NA,0.029065261,0.320586647,0.039023585,49.06664745,NA,0.001021017,NA,3.800253153,28.93105494,0.020134678,47.26862603,0.328608083,0.002179753,376.3957838,NA,0.147229433,0.032539941,10.60425937,7.211408096,0.399663656,0.007742522,NA,NA,NA,NA
2019,2019_05_3.1,5,3.1,400320,6468231,115.9456567,-31.91743527,Chapman,Chapman_M,Fresh,CD_fresh,6.93,1702,NA,NA,NA,NA,0.123048534,0.01811537,0.253178885,0.043367945,48.69219223,NA,NA,0.033757501,3.598206461,80.71667631,0.018751829,27.97745234,0.467512801,0.001699171,234.1278388,NA,0.443757856,0.033426459,6.9136434,7.115365152,0.30685083,0.006510915,0.00736874,NA,NA,NA
2019,2019_05_3.2,5,3.2,400320,6468231,115.9456567,-31.91743527,Chapman,Chapman_M,Fresh,CD_fresh,7,1892,NA,NA,NA,NA,0.413257333,0.024166583,0.27002918,0.04386051,48.95489671,NA,0.001283233,NA,1.816017517,26.502487,0.020972097,31.58870362,0.398364823,0.00296038,261.231233,NA,0.538523394,0.031694379,5.351786385,7.265775122,0.327935457,0.008604562,0.022773506,NA,NA,NA
2019,2019_06_1,6,1,400274,6468183,115.9451653,-31.91786421,Chapman,Chapman_M,Fresh,CD_fresh,7.98,1870,NA,NA,NA,NA,NA,NA,0.316974923,0.030196029,50.11543575,NA,NA,NA,0.665632065,28.88013372,0.016616576,41.66575552,0.276089609,0.001874504,367.42383,NA,0.237365834,0.034763511,11.56051902,6.361276385,0.395918328,0.006925256,0.004958681,NA,NA,NA
2019,2019_06_2,6,2,400291,6468197,115.9453465,-31.91773942,Chapman,Chapman_M,Fresh,CD_fresh,7.98,1970,NA,NA,NA,NA,NA,NA,0.259530637,0.029212207,48.76925531,NA,NA,NA,0.729963245,23.29536562,0.017318715,29.72629048,0.082513474,0.001600988,269.5526987,NA,0.187538421,0.033207057,7.552358491,6.680983614,0.330468669,0.00521983,0.008186187,NA,NA,NA
2019,2019_06_3,6,3,400307,6468215,115.9455176,-31.91757845,Chapman,Chapman_M,Fresh,CD_fresh,7.9,2679,NA,NA,NA,NA,NA,0.014572478,0.297562906,0.038885457,54.07152768,NA,0.001068991,NA,3.816893014,26.69223153,0.017026041,42.05239846,0.510785911,0.001747024,372.2425148,NA,0.46521773,0.031604272,9.136193803,7.100883911,0.380182629,0.007112077,0.011127294,NA,NA,NA
2019,2019_06_4,6,4,400325,6468230,115.9457095,-31.91744473,Chapman,Chapman_M,Fresh,CD_fresh,7.24,820,NA,NA,NA,NA,NA,0.017977128,0.204141672,0.051328031,52.0354209,NA,NA,NA,6.21081014,20.83782531,0.017182224,19.26863,0.589668631,0.001341427,167.0449754,NA,0.821579542,0.027607838,3.107784792,7.554332059,0.278101799,0.005140689,0.011554578,NA,NA,NA
