Sample,Profile,Type,Depth,Proportion,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,La_Sm_PR,La_Yb_PR,Ce_anom,Eu_anom,Y,Th,Zr,Hf,Ti
GEA3g,GE,Regolith,0.23,NA,5.12,15.1,1.15,4.44,0.96,0.19,0.92,0.15,0.87,0.2,0.59,0.09,0.67,NA,30.45,0.6,0.5,1.5,0.9,4.7,69.4,NA,NA,NA
GEA3m,GE,Regolith,0.23,NA,3.53,7.16,0.63,2.07,0.48,0.13,0.51,0.11,0.89,0.2,0.57,0.09,0.79,NA,17.16,0.8,0.3,1.1,1.2,5.09,6.26,NA,NA,NA
GE6,GE,Regolith,3.5,NA,1.43,17.5,0.32,1.26,0.22,0.11,0.65,0.09,0.48,0.12,0.26,0.07,0.54,NA,23.05,0.7,0.2,6.1,1.4,2.96,94.2,NA,NA,NA
GE5g,GE,Regolith,7,NA,1.58,4.16,0.41,1.7,0.55,0.21,0.4,0.07,0.45,0.1,0.33,0.06,0.52,NA,10.54,0.3,0.2,1.2,2.1,2.61,110,NA,NA,NA
GE5m,GE,Regolith,7,NA,2.69,6.77,0.51,2.41,0.46,0.23,0.69,0.11,0.53,0.12,0.32,0.08,0.53,NA,15.45,0.6,0.3,1.4,1.9,3.18,32.5,NA,NA,NA
GE4g,GE,Regolith,8.4,NA,6.88,11.1,0.89,3.06,0.71,0.16,0.67,0.12,0.76,0.21,0.61,0.11,0.74,NA,26.02,1,0.6,1.1,1.1,4.64,32.4,NA,NA,NA
GE4m,GE,Regolith,8.4,NA,8.68,14.4,1.04,3.44,1.06,0.21,0.92,0.13,0.94,0.2,0.63,0.12,0.91,NA,32.68,0.9,0.6,1.1,1,5.76,34.7,NA,NA,NA
GE3g,GE,Regolith,10,NA,0.99,1.74,0.16,0.61,0.23,NA,0.25,0.06,0.26,0.09,0.24,0.06,0.38,NA,5.07,0.4,0.2,1.1,0,1.77,18.1,NA,NA,NA
GE3m,GE,Regolith,10,NA,1.3,1.93,0.21,0.64,0.18,0.11,0.19,0.04,0.31,0.09,0.28,0.08,0.48,NA,5.84,0.8,0.2,0.9,2.7,2.31,15,NA,NA,NA
GE2g,GE,Regolith,11.4,NA,4.57,6.5,0.59,1.99,0.42,0.07,0.41,0.08,0.52,0.12,0.39,0.07,0.5,NA,16.23,1.2,0.5,1,0.8,3.01,30.4,NA,NA,NA
GE2m,GE,Regolith,11.4,NA,6.47,9.32,0.96,2.92,0.51,0.15,0.64,0.12,0.64,0.19,0.49,0.1,0.66,NA,23.17,1.4,0.6,0.9,1.2,4.22,31.4,NA,NA,NA
GE1g,GE,Regolith,12.5,NA,10,16.7,1.56,5.52,1.16,0.17,1.14,0.18,1.1,0.25,0.77,0.13,0.89,NA,39.57,0.9,0.7,1,0.7,6.42,59.4,NA,NA,NA
GE1m,GE,Regolith,12.5,NA,12.6,21.1,1.98,6.82,1.41,0.27,1.45,0.21,1.27,0.28,0.94,0.16,1.24,NA,49.73,0.9,0.6,1,0.9,8.76,62,NA,NA,NA
MQPR1,MQ,Rock,NA,NA,57,89,8.27,29.1,4.9,1.08,5.66,0.69,3.95,0.9,2.44,0.39,2.6,0.11,206.09,NA,NA,NA,NA,25.6,37.5,NA,NA,NA
MQPR2,MQ,Rock,NA,NA,54.7,84.3,7.65,26.9,4.61,1.15,4.55,0.67,4.07,0.7,2.48,0.35,2.84,0.08,195.05,NA,NA,NA,NA,24.6,39.4,NA,NA,NA
MQPR3,MQ,Rock,NA,NA,8.29,17.9,2.44,11.2,4.9,1.23,4.05,0.72,4.25,0.81,2.47,0.3,2.14,0.08,60.78,NA,NA,NA,NA,21.6,5.75,NA,NA,NA
MQ9g,MQ1,Regolith,0.2,NA,43,74.5,6.57,22.3,3.75,0.69,3.51,0.47,2.73,0.57,1.6,0.24,1.4,0.22,161.55,1,1.5,1.1,0.8,14.6,35.5,NA,NA,NA
