Year,Group,Sample,SampID,GSample,Drain,Zone,Type,Type2,DepthType,Easting,Northing,Longitude,Latitude,Depth_upper_cm,Depth_lower_cm,DepthMid,pH,EC,EC_units,Al,As,Ba,Ca,Ce,Co,Cr,Cu,Fe,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,S,Sr,Th,V,Y,Zn,REE
2019,9,3,2019_9_3,9_3,NA,SM,Saltmarsh,Saltmarsh W,Core,400178,6467970,115.944128,-31.91977712,20,30,25,5.15,1.175,NA,38229,1.67,58.6,999,94.8,13.6,70.5,30.6,50081,6.78,1975,47.4,29,2458,336,3.13,2292,37.9,23.8,404,42.8,460,23,17.4,99.3,22.1,19.5,186.88
2019,9,4,2019_9_4,9_4,NA,SM,Saltmarsh,Saltmarsh W,Core,400178,6467970,115.944128,-31.91977712,30,40,35,5.12,2.085,NA,42842,NA,47.1,1024,113.9,18.5,75.1,28.9,51016,7.8,1994,55.2,37.8,2537,409,3.53,2761,43.8,26.8,302,49,486,25,19.1,101.6,27.6,16.3,220.7
2019,9,5,2019_9_5,9_5,NA,SM,Saltmarsh,Saltmarsh W,Core,400178,6467970,115.944128,-31.91977712,40,50,45,5.33,1.177,NA,51041,2.39,45.5,1101,113.4,16.7,74.4,28.2,52633,8.64,2167,52.1,53.1,2888,382,4.3,4117,45.6,27.9,221,43.1,616,29,18.5,101.1,27.8,14.4,219.74
2019,9,6,2019_9_6,9_6,NA,SM,Saltmarsh,Saltmarsh W,Core,400178,6467970,115.944128,-31.91977712,50,60,55,5.22,1.267,NA,39586,2.01,124.1,1024,63,8.2,61.3,20.8,39401,5.21,1764,29.9,42.2,2795,178,3.18,4672,27,19.8,122,21.5,592,34,18.1,86,13.6,11.2,125.11
2019,9,7,2019_9_7,9_7,NA,SM,Saltmarsh,Saltmarsh W,Core,400178,6467970,115.944128,-31.91977712,60,70,65,5.53,2.31,NA,21020,1.62,34.5,722,35.8,3,32.8,11,16504,2.52,946,17.5,22.3,1537,80,0.95,3056,15.5,11.3,56,9.3,332,15,11,38.9,6.1,NA,71.32
2019,9,8,2019_9_8,9_8,NA,SM,Saltmarsh,Saltmarsh W,Core,400178,6467970,115.944128,-31.91977712,70,80,75,5.68,1.753,NA,9016,NA,11.9,473,22.8,1.8,16.6,NA,9889,1.57,467,11.3,9.3,760,61,0.66,1929,9.7,5.7,47,4.7,230,9,6.2,27,3.2,NA,45.37
2019,9,9,2019_9_9,9_9,NA,SM,Saltmarsh,Saltmarsh W,Core,400178,6467970,115.944128,-31.91977712,80,90,85,5.19,2.085,NA,12140,1.24,18.1,744,25.3,2.2,24.2,7.1,14031,1.83,622,12.9,13,1277,68,1.49,2846,11.1,6.3,37,5.3,327,14,8.1,32,3.9,NA,51.13
2019,9,10,2019_9_10,9_1,NA,SM,Saltmarsh,Saltmarsh W,Core,400178,6467970,115.944128,-31.91977712,90,100,95,5.51,2.135,NA,13125,1.44,18.8,825,36.3,2.8,25.5,8.9,18201,2.66,714,18.1,15.2,1629,68,1.88,3709,15.7,6.7,50,10.1,399,18,9.5,35.9,6.5,NA,72.76
2019,10,1,2019_10_1,10_1,NA,SM,Saltmarsh,Saltmarsh W,Surface,400229,6468075,115.9446782,-31.91883446,0,10,5,6.77,7.94,NA,42774,2.24,94.5,3069,100.2,11.9,79.8,170.8,35332,7,3050,51.1,35.3,4886,93,1.17,11534,41,29.2,376,60.6,2759,55,22.8,80.8,22,210.9,199.3
2019,10,2,2019_10_2,10_2,NA,SM,Saltmarsh,Saltmarsh W,Core,400229,6468075,115.9446782,-31.91883446,10,20,15,6.38,6.23,NA,36801,1.85,81.2,3180,116.7,15.8,69.1,176.2,43136,7.89,3167,59.7,35.9,5415,148,1.64,15871,46.3,29.1,421,53.8,3907,62,19.1,82.9,29,246.6,230.59
2019,10,3,2019_10_3,10_3,NA,SM,Saltmarsh,Saltmarsh W,Core,400229,6468075,115.9446782,-31.91883446,20,30,25,6.31,4.98,NA,43373,2.7,123.9,1730,155.8,11.2,66.8,61.4,57255,11.8,2653,67.9,42.7,3814,117,5.94,9817,64.2,24.5,260,47.2,1759,51,15.5,116.3,40.6,114.3,299.7
2019,10,4,2019_10_4,10_4,NA,SM,Saltmarsh,Saltmarsh W,Core,400229,6468075,115.9446782,-31.91883446,30,40,35,5.8,6.41,NA,44013,5.95,129.8,1663,159.2,11.2,69.5,61,56240,11.96,2761,69.7,44,3967,115,5.87,9667,65.3,25,254,47.4,1654,52,16.4,115.6,42.1,116.4,306.16
2019,10,5,2019_10_5,10_5,NA,SM,Saltmarsh,Saltmarsh W,Core,400229,6468075,115.9446782,-31.91883446,40,50,45,6.67,5.8,NA,40355,4.71,84.8,1694,67.2,8.9,63.1,88.2,42756,5.36,2449,32.5,34.8,3912,71,8.22,10840,28.6,19.7,243,38.8,1917,40,17.4,117.5,15.4,114.1,133.66
2019,10,6,2019_10_6,10_6,NA,SM,Saltmarsh,Saltmarsh W,Core,400229,6468075,115.9446782,-31.91883446,70,80,75,6.1,10.71,NA,19774,NA,56.2,909,37.5,3.9,41.2,32,14780,2.63,1222,18.6,19,2139,48,3.42,6876,15.3,13,92,15.2,1067,26,11.9,48.1,7,39.1,74.03
2019,10,7,2019_10_7,10_7,NA,SM,Saltmarsh,Saltmarsh W,Core,400229,6468075,115.9446782,-31.91883446,90,100,95,6.07,7.79,NA,12960,1.28,41.9,732,24.1,2.3,24.8,20.8,10276,1.74,808,11.8,13.5,1694,41,3.56,6367,10.1,5.7,49,7.9,1030,19,10,35.1,4,20.7,47.74
2020,4,N1,2020_4_1,4_1,NA,N,Lake_Sed,Lake_Sed,Surface,400220,6468210,115.9445969,-31.91761592,NA,NA,NA,6.12,2.496,NA,45594,9,49,3712,119,12,84,212,39937,8,4409,59,46,5038,68,2,13146,44,29,536,46,4364,53,21,84,26,208,230
2020,4,N2,2020_4_2,4_2,NA,N,Lake_Sed,Lake_Sed,Surface,400225,6468235,115.9446524,-31.91739085,NA,NA,NA,6.3,2.149,NA,48622,7,55,5164,177,14,77,161,40402,12,4559,86,45,5860,74,1,13814,61,28,489,39,4450,65,19,82,41,305,336
2020,4,N3,2020_4_3,4_3,NA,N,Lake_Sed,Lake_Sed,Surface,400240,6468205,115.9448079,-31.91766278,NA,NA,NA,5.76,2.329,NA,46989,7,44,4425,137,12,76,202,33893,9,4413,67,38,5547,75,1,13530,49,26,469,51,3255,56,22,81,30,262,262
2020,4,N4,2020_4_4,4_4,NA,N,Lake_Sed,Lake_Sed,Surface,400240,6468213,115.9448088,-31.91759061,NA,NA,NA,4.65,6.32,NA,43153,7,41,4582,129,11,73,184,33025,8,4178,65,35,5570,76,1,14840,46,24,449,51,3742,53,22,80,29,227,248
2020,4,N5,2020_4_5,4_5,NA,N,Lake_Sed,Lake_Sed,Surface,400240,6468221,115.9448096,-31.91751845,NA,NA,NA,5.65,2.327,NA,43735,7,49,5046,138,15,70,198,35250,9,4384,67,38,5760,84,2,15141,48,25,408,42,4296,58,19,79,30,310,262
2020,4,N6,2020_4_6,4_6,NA,N,Lake_Sed,Lake_Sed,Surface,400240,6468229,115.9448104,-31.91744629,NA,NA,NA,5.87,1.676,NA,41685,9,48,6555,137,17,69,278,38271,9,4485,66,38,6142,105,2,17335,48,27,435,50,6142,73,18,83,31,353,260
2020,4,N7,2020_4_7,4_7,NA,N,Lake_Sed,Lake_Sed,Surface,400240,6468237,115.9448112,-31.91737412,NA,NA,NA,6,1.156,NA,45013,7,52,5688,163,15,71,230,37194,10,4360,80,41,5747,89,2,16070,56,27,465,48,5203,66,18,80,38,303,309
2020,4,N8,2020_4_8,4_8,NA,N,Lake_Sed,Lake_Sed,Surface,400240,6468245,115.9448121,-31.91730196,NA,NA,NA,5.84,3.09,NA,47600,7,55,5689,253,14,74,138,40681,15,4740,126,48,6071,81,2,13784,87,27,456,40,3558,70,16,83,62,246,481
2020,5,N9,2020_5_1,5_1,NA,N,Lake_Sed,Lake_Sed,Surface,400240,6468253,115.9448129,-31.9172298,NA,NA,NA,6.12,5.67,NA,47881,6,53,5643,271,11,70,113,35236,18,3874,120,47,5487,73,2,13956,98,27,442,41,4385,66,13,81,67,175,507
2020,5,N10,2020_5_2,5_2,NA,N,Lake_Sed,Lake_Sed,Surface,400240,6468261,115.9448137,-31.91715763,NA,NA,NA,6.58,1.186,NA,50959,7,55,4759,212,12,73,108,38332,13,4069,105,48,5550,79,2,14102,75,28,439,36,3168,63,18,81,51,172,405
2020,5,N11,2020_5_3,5_3,NA,N,Lake_Sed,Lake_Sed,Surface,400240,6468269,115.9448145,-31.91708547,NA,NA,NA,5.57,0.1743,NA,44622,10,55,4832,172,15,60,83,50300,13,3552,80,47,5001,90,6,13061,65,25,409,27,3671,67,14,78,45,225,330
2020,5,N12,2020_5_4,5_4,NA,N,Lake_Sed,Lake_Sed,Surface,400240,6468277,115.9448154,-31.91701331,NA,NA,NA,5.98,0.432,NA,42096,15,68,5676,150,24,56,104,65764,12,3636,72,41,6873,134,6,18085,58,24,436,28,4972,92,13,73,41,472,292
2020,5,N13,2020_5_5,5_5,NA,N,Lake_Sed,Lake_Sed,Surface,400260,6468210,115.94502,-31.91761943,NA,NA,NA,7.74,0.415,NA,42553,8,45,3785,129,11,77,249,34131,8,3796,64,33,4625,69,2,9370,47,27,502,64,2646,51,21,83,27,309,248
2020,5,N14,2020_5_6,5_6,NA,N,Lake_Sed,Lake_Sed,Surface,400260,6468218,115.9450208,-31.91754727,NA,NA,NA,7.54,4.12,NA,43836,9,48,6909,130,16,77,282,37738,9,4471,64,36,6045,115,2,17715,45,31,579,65,5338,70,21,84,29,532,248
2020,5,N15,2020_5_7,5_7,NA,N,Lake_Sed,Lake_Sed,Surface,400260,6468226,115.9450216,-31.9174751,NA,NA,NA,5.9,9.7,NA,40271,7,52,5443,134,16,66,245,37118,9,4191,67,36,5893,105,1,15499,47,24,476,52,4193,63,19,79,30,358,257
2020,5,N16,2020_5_8,5_8,NA,N,Lake_Sed,Lake_Sed,Surface,400260,6468234,115.9450224,-31.91740294,NA,NA,NA,6.42,6.83,NA,54517,7,77,4566,214,17,77,148,41587,13,4613,105,52,5652,92,1,13780,71,30,540,45,3572,65,19,91,52,315,403
2020,6,N17,2020_6_1,6_1,NA,N,Lake_Sed,Lake_Sed,Surface,400260,6468242,115.9450233,-31.91733078,NA,NA,NA,3.82,3.32,NA,48974,6,58,5443,177,15,72,203,33390,11,4298,86,45,5529,98,1,14008,61,29,437,48,3710,66,18,81,42,294,335
2020,6,N18,2020_6_2,6_2,NA,N,Lake_Sed,Lake_Sed,Surface,400260,6468250,115.9450241,-31.91725861,NA,NA,NA,5.71,2.364,NA,49015,6,50,5906,205,15,70,176,37939,13,4025,98,47,5956,98,2,15669,73,29,516,50,4503,70,16,84,50,294,389
2020,6,N19,2020_6_3,6_3,NA,N,Lake_Sed,Lake_Sed,Surface,400260,6468258,115.9450249,-31.91718645,NA,NA,NA,5.17,1.455,NA,50752,7,64,4819,182,19,73,188,41735,12,4144,91,50,6219,124,2,14767,64,31,501,41,3271,70,18,82,45,351,349
2020,6,N20,2020_6_4,6_4,NA,N,Lake_Sed,Lake_Sed,Surface,400260,6468266,115.9450257,-31.91711429,NA,NA,NA,NA,NA,NA,46728,9,57,3787,200,22,66,185,45457,13,4044,101,49,6372,148,2,17603,70,31,480,42,2796,67,15,78,49,394,384
2020,6,N21,2020_6_5,6_5,NA,N,Lake_Sed,Lake_Sed,Surface,400280,6468218,115.9452323,-31.91754902,NA,NA,NA,4.07,11.3,NA,37424,8,55,4844,143,12,61,300,36158,9,4038,69,33,6175,66,1,17390,50,22,571,60,4758,62,17,77,31,319,271
2020,6,N22,2020_6_6,6_6,NA,N,Lake_Sed,Lake_Sed,Surface,400280,6468226,115.9452331,-31.91747686,NA,NA,NA,4.43,8.81,NA,40080,8,60,4446,163,12,65,260,36673,10,4093,75,35,5845,76,1,17103,57,23,565,62,3316,63,18,79,36,269,305
2020,6,N23,2020_6_7,6_7,NA,N,Lake_Sed,Lake_Sed,Surface,400280,6468234,115.945234,-31.9174047,NA,NA,NA,5.34,14.28,NA,49213,8,61,7500,145,19,68,224,34054,9,4165,71,42,6272,125,1,16021,50,31,616,50,5348,84,18,73,32,445,275
2020,6,N24,2020_6_8,6_8,NA,N,Lake_Sed,Lake_Sed,Surface,400280,6468242,115.9452348,-31.91733253,NA,NA,NA,6.31,14.94,NA,44453,7,54,6424,154,16,65,251,32664,10,3991,76,44,6431,95,1,18681,53,28,529,52,5176,77,17,71,36,313,293
2020,6,N25,2020_6_9,6_9,NA,N,Lake_Sed,Lake_Sed,Surface,400280,6468250,115.9452356,-31.91726037,NA,NA,NA,6.11,14.62,NA,46106,8,61,5229,237,18,65,188,41811,15,3633,115,52,5704,134,2,15219,81,30,610,47,3820,72,14,80,59,364,448
2020,7,N26,2020_7_1,7_1,NA,N,Lake_Sed,Lake_Sed,Surface,400280,6468258,115.9452364,-31.91718821,NA,NA,NA,6.21,15.53,NA,47090,7,77,3950,159,11,67,327,32392,10,3913,74,40,4583,78,2,9708,54,26,742,72,2914,68,17,71,33,283,297
2020,7,N27,2020_7_2,7_2,NA,N,Lake_Sed,Lake_Sed,Surface,400280,6468266,115.9452373,-31.91711604,NA,NA,NA,6.34,16.3,NA,44070,9,69,4735,195,18,65,240,44838,12,3857,106,47,6425,123,2,18283,66,31,662,57,3682,88,16,76,49,401,379
2020,7,N28,2020_7_3,7_3,NA,N,Lake_Sed,Lake_Sed,Surface,400300,6468230,115.9454451,-31.91744253,NA,NA,NA,6.2,20.2,NA,41629,6,51,6174,182,12,62,191,29229,11,3756,86,44,5634,79,2,16082,62,26,509,49,4743,71,17,70,43,245,341
2020,7,N29,2020_7_4,7_4,NA,N,Lake_Sed,Lake_Sed,Surface,400300,6468238,115.9454459,-31.91737037,NA,NA,NA,5.96,17.31,NA,47531,6,76,2755,192,13,72,169,34934,12,3661,90,42,4656,83,1,10454,65,27,575,57,1573,54,20,75,42,303,359
2020,7,N30,2020_7_5,7_5,NA,N,Lake_Sed,Lake_Sed,Surface,400300,6468246,115.9454467,-31.91729821,NA,NA,NA,6.79,14.01,NA,50549,7,79,3966,253,16,70,179,37523,14,3629,125,54,5484,102,1,14029,81,31,692,61,2977,71,15,78,62,330,473
2020,7,N31,2020_7_6,7_6,NA,N,Lake_Sed,Lake_Sed,Surface,400300,6468254,115.9454475,-31.91722604,NA,NA,NA,6.04,15.15,NA,43279,9,69,4365,206,16,66,264,37291,12,3705,104,46,5639,113,1,14331,68,31,861,71,2857,76,17,77,50,331,390
2020,7,N32,2020_7_7,7_7,NA,N,Lake_Sed,Lake_Sed,Surface,400300,6468262,115.9454484,-31.91715388,NA,NA,NA,6.3,15.9,NA,43838,9,77,5387,193,24,61,311,43134,12,3889,99,50,6491,106,2,20574,65,34,738,58,4385,108,13,69,47,509,369
2020,7,N33,2020_7_8,7_8,NA,N,Lake_Sed,Lake_Sed,Surface,400320,6468252,115.9456588,-31.91724584,NA,NA,NA,6.35,15.13,NA,39334,22,76,5608,129,27,57,541,52837,9,3751,66,40,6624,99,2,24118,45,31,2004,164,5142,106,11,66,33,812,249
2020,1,NW1,2020_1_1,1_1,NA,NW,Lake_Sed,Lake_Sed,Surface,400020,6468160,115.9424766,-31.91804935,NA,NA,NA,6.63,21.17,NA,24992,8,50,1760,39,9,39,20,33454,4,1329,20,24,1900,60,4,2453,17,10,173,18,7215,23,12,54,8,417,80
2020,1,NW2,2020_1_2,1_2,NA,NW,Lake_Sed,Lake_Sed,Surface,400030,6468146,115.9425809,-31.91817651,NA,NA,NA,5.87,9.42,NA,24200,10,43,1643,76,9,32,14,48046,6,1152,37,31,1458,92,7,2056,30,10,261,25,2920,22,8,55,16,254,149
2020,1,NW3,2020_1_3,1_3,NA,NW,Lake_Sed,Lake_Sed,Surface,400030,6468154,115.9425818,-31.91810435,NA,NA,NA,6.26,18.84,NA,23742,7,65,1716,36,10,34,26,27926,3,1226,19,27,1825,55,6,1930,15,9,206,22,8403,31,12,51,7,452,73
2020,1,NW4,2020_1_4,1_4,NA,NW,Lake_Sed,Lake_Sed,Surface,400030,6468162,115.9425826,-31.91803219,NA,NA,NA,6.41,18.72,NA,25611,13,88,3690,60,51,38,43,52242,6,1521,32,26,3043,95,5,4597,24,17,699,33,30855,123,9,58,14,3781,122
2020,1,NW5,2020_1_5,1_5,NA,NW,Lake_Sed,Lake_Sed,Surface,400030,6468170,115.9425834,-31.91796002,NA,NA,NA,6.46,14.55,NA,21520,7,37,1316,47,7,33,14,34561,4,1128,23,21,1461,59,4,2131,21,8,177,16,4182,18,10,50,9,435,95
2020,1,NW6,2020_1_6,1_6,NA,NW,Lake_Sed,Lake_Sed,Surface,400045,6468136,115.9427386,-31.91826804,NA,NA,NA,6.51,15.07,NA,35056,3,33,1476,80,6,43,25,17475,5,1634,39,41,1989,42,1,2266,29,15,186,23,1655,24,12,43,15,281,153
2020,1,NW7,2020_1_7,1_7,NA,NW,Lake_Sed,Lake_Sed,Surface,400045,6468144,115.9427394,-31.91819587,NA,NA,NA,6.51,16.3,NA,29817,3,33,1340,68,6,36,13,18023,5,1357,32,43,1627,45,2,1593,25,12,147,22,2505,20,11,43,13,288,130
2020,1,NW8,2020_1_8,1_8,NA,NW,Lake_Sed,Lake_Sed,Surface,400045,6468152,115.9427402,-31.91812371,NA,NA,NA,7.08,15.35,NA,28660,6,49,2522,58,16,42,48,30616,5,1556,29,33,2505,66,4,2718,23,13,296,32,17984,49,12,55,12,780,115
2020,2,NW9,2020_2_1,2_1,NA,NW,Lake_Sed,Lake_Sed,Surface,400045,6468160,115.942741,-31.91805155,NA,NA,NA,6.36,12.47,NA,36928,4,38,6134,65,9,52,30,23495,4,2052,36,32,3533,70,1,4819,23,17,398,28,2522,58,12,53,12,439,128
2020,2,NW10,2020_2_2,2_2,NA,NW,Lake_Sed,Lake_Sed,Surface,400045,6468168,115.9427419,-31.91797938,NA,NA,NA,6.35,12.35,NA,2857,5,28,1014,3,3,50,13,16892,1,144,3,2,1006,495,3,1148,2,11,113,7,472,10,1,8,2,76,9
2020,2,NW11,2020_2_3,2_3,NA,NW,Lake_Sed,Lake_Sed,Surface,400045,6468176,115.9427427,-31.91790722,NA,NA,NA,6.83,11.88,NA,49495,9,74,2245,61,14,58,21,36888,4,2125,35,27,1935,66,4,381,22,17,326,44,492,22,11,74,10,615,122
2020,2,NW12,2020_2_4,2_4,NA,NW,Lake_Sed,Lake_Sed,Surface,400045,6468184,115.9427435,-31.91783506,NA,NA,NA,6.67,12.82,NA,41810,8,72,6857,69,21,51,28,38213,5,1432,37,33,2006,87,3,731,26,17,482,43,1232,39,7,67,13,1216,137
2020,2,NW13,2020_2_5,2_5,NA,NW,Lake_Sed,Lake_Sed,Surface,400060,6468158,115.9428995,-31.91807091,NA,NA,NA,6.85,10.68,NA,5723,2,23,10304,8,2,19,18,8220,1,655,5,2,806,79,1,291,2,5,275,21,444,27,3,13,2,118,16
2020,2,NW14,2020_2_6,2_6,NA,NW,Lake_Sed,Lake_Sed,Surface,400060,6468166,115.9429003,-31.91799875,NA,NA,NA,6.62,13.81,NA,30552,13,39,48460,40,47,21,26,47862,3,456,36,3,2221,180,2,1720,10,11,876,41,7354,107,1,29,10,4227,89
2020,2,NW15,2020_2_7,2_7,NA,NW,Lake_Sed,Lake_Sed,Surface,400060,6468174,115.9429011,-31.91792658,NA,NA,NA,6.52,14.08,NA,20261,9,31,29390,29,110,19,25,35085,3,1202,27,4,4453,215,2,8008,7,17,1045,39,20442,123,NA,21,7,7510,66
2020,3,NW16,2020_2_8,2_8,NA,NW,Lake_Sed,Lake_Sed,Surface,400060,6468182,115.9429019,-31.91785442,NA,NA,NA,6.24,5.23,NA,42994,3,41,2840,113,11,57,38,20546,7,2612,52,44,3595,46,2,7042,42,20,230,29,4880,41,12,58,25,709,214
2020,3,NW17,2020_2_9,2_9,NA,NW,Lake_Sed,Lake_Sed,Surface,400060,6468190,115.9429028,-31.91778226,NA,NA,NA,6.72,8.52,NA,24962,8,27,1315,34,13,44,20,24299,3,1497,17,25,1965,69,5,2518,14,12,106,12,14932,19,15,51,6,709,68
2020,3,NW18,2020_3,3,NA,NW,Lake_Sed,Lake_Sed,Surface,400060,6468198,115.9429036,-31.91771009,NA,NA,NA,6.71,9.96,NA,32539,5,27,1529,75,11,43,19,21744,5,1884,35,38,2278,47,2,2395,28,13,95,24,9001,23,13,53,16,545,143
2020,3,NW19,2020_3_1,3_1,NA,NW,Lake_Sed,Lake_Sed,Surface,400060,6468206,115.9429044,-31.91763793,NA,NA,NA,6.74,11.92,NA,33809,8,23,1866,79,15,42,19,30943,6,1550,37,39,1898,50,5,1031,31,12,166,26,8135,23,12,65,16,996,153
2020,3,NW21,2020_3_2,3_2,NA,NW,Lake_Sed,Lake_Sed,Surface,400075,6468203,115.9430627,-31.91766631,NA,NA,NA,6.55,16.51,NA,21683,14,46,6097,31,89,33,63,60477,4,1560,21,21,4051,131,7,7612,14,19,566,99,76633,77,5,46,8,5808,70
2020,3,NW22,2020_3_3,3_3,NA,NW,Lake_Sed,Lake_Sed,Surface,400075,6468211,115.9430636,-31.91759415,NA,NA,NA,6.55,15.43,NA,17017,13,47,8419,37,45,30,39,56052,4,2526,24,12,2426,166,6,4996,14,16,869,56,51866,57,1,52,9,3387,79
2020,8,SED2,2020_8_1,8_1,NA,S,Saltmarsh,Saltmarsh E,Surface,400028.42,6468079.4,115.9425574,-31.91877713,NA,NA,NA,5.32,22.1,NA,49622,9,76,1973,110,19,76,92,38689,7,3704,59,40,6016,87,1,22392,41,27,411,32,2952,45,22,85,23,449,217
2020,8,SED1,2020_8_2,8_2,NA,S,Saltmarsh,Saltmarsh E,Surface,400015.33,6468079.3,115.9424189,-31.91877688,NA,NA,NA,5.18,21.34,NA,42751,8,87,2239,112,16,70,67,39498,8,3745,60,40,7808,96,2,33669,42,24,408,36,3915,55,22,87,24,437,222
2020,8,SED3,2020_8_3,8_3,NA,S,Saltmarsh,Saltmarsh E,Surface,400042.25,6468080.1,115.9427037,-31.91877203,NA,NA,NA,4.53,24.61,NA,38420,10,49,2139,97,17,64,112,46536,7,3058,52,35,4905,57,3,17601,37,22,489,40,2961,42,19,80,21,429,193
2020,8,SED4,2020_8_4,8_4,NA,S,Saltmarsh,Saltmarsh E,Surface,400055.38,6468076.1,115.9428421,-31.91880927,NA,NA,NA,5.46,11.8,NA,40612,9,57,2680,108,14,70,105,46525,7,3307,58,35,5643,105,4,20501,41,23,578,42,2998,48,19,85,24,203,214
2020,8,SED5,2020_8_5,8_5,NA,S,Saltmarsh,Saltmarsh E,Surface,400063.48,6468070.4,115.9429272,-31.9188614,NA,NA,NA,6.13,20.42,NA,34905,16,78,2855,45,12,58,272,49340,4,3141,27,30,5960,45,13,26472,20,18,694,74,11042,78,17,77,9,250,96
2020,8,SED6,2020_8_6,8_6,NA,S,Saltmarsh,Saltmarsh E,Surface,400074.14,6468070,115.9430399,-31.91886595,NA,NA,NA,5.5,24.16,NA,45262,10,53,2330,106,15,77,250,40146,7,3703,55,36,4857,70,3,13033,39,24,575,66,8052,45,24,88,22,293,207
2020,8,SED7,2020_8_7,8_7,NA,S,Saltmarsh,Saltmarsh E,Surface,400082.36,6468071.2,115.943127,-31.91885585,NA,NA,NA,6.58,21.87,NA,18522,51,115,5282,23,24,31,233,121037,8,2376,25,16,6564,289,5,26733,18,13,3856,75,4348,132,4,96,11,607,74
2020,9,SED8,2020_9_1,9_1,NA,S,Saltmarsh,Saltmarsh E,Surface,400092.32,6468065.7,115.9432317,-31.91890633,NA,NA,NA,6.95,28.92,NA,17140,43,97,4853,15,14,27,152,117888,7,2471,21,14,7006,130,4,31391,15,13,3403,52,6075,111,3,73,9,588,58
2020,9,SED9,2020_9_2,9_2,NA,S,Saltmarsh,Saltmarsh E,Surface,400100.96,6468062.6,115.9433228,-31.91893506,NA,NA,NA,6.83,21.45,NA,17994,38,89,7607,24,28,31,179,100359,6,2742,23,15,8777,693,5,32611,14,17,2902,70,4894,163,3,73,10,715,67
2020,9,SED10,2020_9_3,9_3,NA,S,Saltmarsh,Saltmarsh E,Surface,400105.5,6468056.7,115.9433702,-31.91898868,NA,NA,NA,6.23,21.5,NA,27041,24,103,7366,47,75,45,156,63235,5,3252,31,20,8763,3503,4,29244,18,27,2257,66,5328,131,6,80,13,740,101
2020,9,SED11,2020_9_4,9_4,NA,S,Saltmarsh,Saltmarsh E,Surface,400110.08,6468047.6,115.9434177,-31.91907117,NA,NA,NA,7.24,19.38,NA,16050,62,173,11237,10,20,25,122,129609,7,2067,21,16,7205,418,4,22671,14,12,7020,105,6432,254,3,78,9,736,52
2020,9,SED12,2020_9_5,9_5,NA,S,Saltmarsh,Saltmarsh E,Surface,400112.23,6468038.1,115.9434395,-31.91915705,NA,NA,NA,5.88,11.5,NA,31852,14,51,6890,48,14,52,93,44322,4,2945,31,23,9771,402,1,32288,20,19,1416,50,5363,114,9,66,12,354,103
2020,9,SED13,2020_9_6,9_6,NA,S,Saltmarsh,Saltmarsh E,Surface,400111.38,6468029,115.9434295,-31.91923906,NA,NA,NA,5.68,20.45,NA,34262,32,51,6495,82,30,60,220,57672,7,3367,46,34,6500,182,3,20711,31,24,1484,133,17092,86,15,83,20,625,166
2020,9,SED14,2020_9_7,9_7,NA,S,Saltmarsh,Saltmarsh E,Surface,400086.78,6468078.5,115.9431745,-31.91879039,NA,NA,NA,4.69,22.34,NA,49723,8,74,2722,124,18,81,128,33523,8,3413,64,35,5257,160,2,13182,46,27,540,63,2814,51,25,89,25,217,242
2020,10,SED15,2020_10_1,10_1,NA,S,Saltmarsh,Saltmarsh E,Surface,400093.84,6468083.4,115.9432497,-31.91874681,NA,NA,NA,5.5,13.81,NA,15673,41,78,5190,24,25,23,226,113411,7,2505,27,12,7579,297,8,34588,17,12,2789,38,5741,111,2,70,12,354,75
2020,10,SED16,2020_10_2,10_2,NA,S,Saltmarsh,Saltmarsh E,Surface,400103.11,6468091.5,115.9433485,-31.91867456,NA,NA,NA,5.77,24.04,NA,35424,10,69,3780,70,13,58,267,35030,5,3455,40,28,7204,74,6,31106,28,20,802,65,6291,84,15,89,15,216,143
2020,10,SED17,2020_10_3,10_3,NA,S,Saltmarsh,Saltmarsh E,Surface,400109.55,6468102,115.9434177,-31.91858041,NA,NA,NA,5.02,28.27,NA,50436,10,70,2603,107,22,78,224,48654,8,4247,58,39,5224,73,1,14602,41,29,481,46,2865,48,22,85,23,448,214
2020,10,SED18,2020_10_4,10_4,NA,S,Saltmarsh,Saltmarsh E,Surface,400123.97,6468100,115.94357,-31.91859972,NA,NA,NA,4.65,47,NA,46277,9,80,2930,117,22,73,173,48533,8,4523,65,37,6802,95,1,22175,43,27,433,42,3471,53,20,80,25,493,233
2020,10,SED19,2020_10_5,10_5,NA,S,Saltmarsh,Saltmarsh E,Surface,400134.49,6468094.8,115.9436807,-31.91864755,NA,NA,NA,4.94,13.26,NA,46716,10,85,2106,95,16,72,357,38859,7,3965,51,34,6274,74,2,23701,36,25,591,72,3380,63,20,77,20,254,189
2020,10,SED20,2020_10_6,10_6,NA,S,Saltmarsh,Saltmarsh E,Surface,400075.03,6468094.5,115.9430519,-31.91864503,NA,NA,NA,NA,NA,NA,11927,14,69,31350,15,36,17,169,62650,3,3622,14,11,20745,126,3,95761,6,15,571,36,42346,512,4,28,6,367,38
2020,10,SED21,2020_10_7,10_7,NA,S,Saltmarsh,Saltmarsh E,Surface,400064.99,6468107.7,115.942947,-31.91852507,NA,NA,NA,NA,NA,NA,9315,35,105,7411,6,7,21,98,105240,6,3286,11,8,11687,27,10,72279,10,6,2209,27,12182,126,1,93,5,246,33
