"Sample","Easting","Northing","Type","Zone","Depth_top","Depth_bot","Quartz","Kaolinite","Illite","Feldspars","Biotite","Halite","Gypsum","Pyrite","Hornblende","Jarosite","Calcite","Palygorskite","Phlogopite","Haematite","Gibbsite","Rutile","Goethite","Dolomite","Nesquehonite","Halloysite","Clinochlore","Vermiculite","Magnetite","Thenardite","Cristobalite","Alunite","Tremolite","Artinite","Lepidocrocite","Cordierite","Talc"
"AFS21-70",400003,6468303,"Surface","Woolcock",0,10,5.3,40.2,30.8,16.3,NA,4.3,0.8,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS22-G1",400470,6468259,"Surface","Saltmarsh",0,10,10.4,35.5,36.7,16.5,NA,0.7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS22-G2",400500,6468208,"Surface","Saltmarsh",0,10,7.8,36.9,28.2,20.1,NA,6,0.6,0.3,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS22-G7",400336,6468051,"Surface","Saltmarsh",0,10,28.7,14.7,25.4,7,NA,24.1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS22-G8",400379,6468072,"Surface","Saltmarsh",0,10,47.5,19.8,2.9,0.01,NA,29.9,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS22-G9",400089,6468065,"Surface","ChapSide",0,10,8.8,12.6,32.7,NA,NA,45.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS22-G10",400112,6468035,"Surface","ChapSide",0,10,85.6,9.8,3.7,0.01,NA,0.01,1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS22-G11",400113,6468044,"Surface","ChapSide",0,10,5.8,38,35.6,11.1,NA,7,0.9,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B03_1.5m_H2",400013,6467982,"Core","SW-marsh",150,200,19.7,30.4,37,12.2,NA,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B03_4.5m_H1",400013,6467982,"Core","SW-marsh",450,500,38.1,21.7,2.8,30.1,NA,1.6,0.8,1.1,NA,1.5,NA,1,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B03_7.5m_H1",400013,6467982,"Core","SW-marsh",750,800,22.8,30.1,6.7,27.9,NA,NA,5.5,3.2,0.01,2.5,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B13_3.0m_H3",400306,6468243,"Core","N-pond",400,450,34,22,29.4,13.9,NA,0.5,0.1,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B13_4.5m_H1",400306,6468243,"Core","N-pond",450,500,19.5,19,38.1,13.1,NA,NA,8.8,NA,0.6,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B13_4.5m_H2",400306,6468243,"Core","N-pond",500,550,36.2,19.5,6.8,32.5,NA,NA,0.8,NA,1.1,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B13_4.5m_H3",400306,6468243,"Core","N-pond",550,600,22,29.6,14.4,27.5,NA,NA,2.2,2.6,0.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B13_6.0_h1",400306,6468243,"Core","N-pond",600,650,24.8,30,10.6,30.8,NA,NA,2.8,1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G1-S1",400441,646870,"Surface",NA,0,10,8.9,31.8,41.2,12.3,NA,5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G1-S3",400445,6468242,"Surface","Saltmarsh",0,10,6.2,49.7,24.6,19.1,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G2-A",400320,6468293,"Surface","N-pond",0,10,5.6,34.5,50.3,6.3,NA,2.3,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G2-B",400320,6468283,"Surface","N-pond",0,10,5.8,48.1,13.8,30.1,NA,1.5,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G2-D",400328,6468246,"Surface","N-pond",0,10,6.2,42.4,38,12,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G3-S1",400222,6468209,"Surface","N-pond",0,10,7.6,32.2,39.7,12.9,NA,6.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361-G3-S1.2",400222,6468209,"Surface","N-pond",0,10,6.4,35.9,29.7,21.1,NA,6.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
