zone,zonesE,zonesN
SM-W,400040,6468275
SM-W,400140,6468325
SM-W,400140,6468270
SM-W,400200,6468300
SM-W,400234,6468300
SM-W,400228,6468277
SM-W,400217,6468232
SM-W,400215,6468209
SM-W,400225.7,6468194
SM-W,400234.1,6468194
SM-W,400251.2,6468200
SM-W,400276.6,6468208
SM-W,400305.3,6468226.899
SM-W,400140,6468063.718
SM-W,400138,6468096
SM-W,400125,6468105
SM-W,400110,6468110
SM-W,400055,6468115
SM-W,400010,6468090
SM-W,400010,6468068
SM-W,399975,6468075
SM-W,399950,6468110
SM-W,399915,6468174
