Pos. [°2?],Intensity [Counts],,,
13.2639,3356.8412,,,
13.2859,3337.3804,,,
13.3079,3272.1692,,,
13.3299,3326.4052,,,
13.3519,3370.8407,,,
13.3739,3362.2822,,,
13.3959,3348.7507,,,
13.4179,3318.0295,,,
13.4399,3330.4956,,,
13.4619,3382.5693,,,
13.4839,3401.7257,,,
13.5059,3416.1918,,,
13.5279,3459.9298,,,
13.5499,3440.6164,,,
13.5719,3423.568,,,
13.5939,3524.7631,,,
13.6159,3472.5441,,,
13.6379,3422.4986,,,
13.6599,3499.9012,,,
13.6819,3490.3362,,,
13.7039,3542.3551,,,
13.7259,3553.8888,,,
13.7479,3550.4027,,,
13.7699,3575.8171,,,
13.7919,3574.7016,,,
13.8139,3673.7317,,,
13.8359,3805.3393,,,
13.8579,3743.2771,,,
13.8799,3779.8054,,,
13.9019,3855.2704,,,
13.9239,3899.975,,,
13.9459,3966.5281,,,
13.9679,4070.8187,,,
13.9899,4122.4671,,,
14.0119,4176.2124,,,
14.0339,4206.6421,,,
14.0559,4451.4747,,,
14.0779,4499.8938,,,
14.0999,4560.6279,,,
14.1219,4722.0464,,,
14.1439,4940.3335,,,
14.1659,5042.4937,,,
14.1879,5205.715,,,
14.2099,5442.3601,,,
14.2319,5676.9594,,,
14.2539,5933.4398,,,
14.2759,6061.7346,,,
14.2979,6228.2715,,,
14.3199,6261.5364,,,
14.3419,6326.8791,,,
14.3639,6200.8484,,,
14.3859,6123.2998,,,
14.4079,5837.9629,,,
14.4299,5497.333,,,
14.4519,5051.3221,,,
14.4739,4785.7697,,,
14.4959,4412.3035,,,
14.5179,4174.458,,,
14.5399,3965.1931,,,
14.5619,3787.5898,,,
14.5839,3595.6735,,,
14.6059,3559,,,
14.6279,3556.6799,,,
14.6499,3507.5819,,,
14.6719,3342.8805,,,
14.6939,3274.5839,,,
14.7159,3067.8211,,,
14.7379,3150.988,,,
14.7599,3003.7906,,,
14.7819,3057.6036,,,
14.8039,2900.4662,,,
14.8259,2984.3609,,,
14.8479,2969.6592,,,
14.8699,2887.4337,,,
14.8919,2917.9551,,,
14.9139,2800.0727,,,
14.9359,2756.5031,,,
14.9579,2862.2212,,,
14.9799,2821.6804,,,
15.0019,2769.8466,,,
15.0239,2698.3475,,,
15.0459,2619.3068,,,
15.0679,2630.6814,,,
15.0899,2648.0739,,,
15.1119,2763.7836,,,
15.1339,2710.5456,,,
15.1559,2655.8992,,,
15.1779,2646.8623,,,
15.1999,2631.8879,,,
15.2219,2658.0875,,,
15.2439,2682.5492,,,
15.2659,2692.0265,,,
15.2879,2646.5914,,,
15.3099,2645.7169,,,
15.3319,2673.3215,,,
15.3539,2602.6538,,,
15.3759,2553.7989,,,
15.3979,2575.3864,,,
15.4199,2541.8465,,,
15.4419,2499.9144,,,
15.4639,2511.2168,,,
15.4859,2550.4032,,,
15.5079,2573.5511,,,
15.5299,2558.7876,,,
15.5519,2531.4557,,,
15.5739,2566.4524,,,
15.5959,2558.7802,,,
15.6179,2535.0629,,,
15.6399,2540.1244,,,
15.6619,2501.2212,,,
15.6839,2457.2173,,,
15.7059,2490.3373,,,
15.7279,2505.5855,,,
15.7499,2464.2517,,,
15.7719,2491.0133,,,
15.7939,2511.4218,,,
15.8159,2517.0624,,,
15.8379,2530.768,,,
15.8599,2559.677,,,
15.8819,2485.9114,,,
15.9039,2402.0722,,,
15.9259,2472.8821,,,
15.9479,2472.2945,,,
15.9699,2467.6185,,,
15.9919,2471.2861,,,
16.0139,2526.1987,,,
16.0359,2499.7709,,,
16.0579,2559.0974,,,
16.0799,2513.4046,,,
16.1019,2555.3304,,,
16.1239,2499.3303,,,
16.1459,2508.3363,,,
16.1679,2481.4842,,,
16.1899,2429.5958,,,
16.2119,2450.5556,,,
16.2339,2472.0915,,,
16.2559,2398.3849,,,
16.2779,2416.6077,,,
16.2999,2386.1981,,,
16.3219,2415.6814,,,
16.3439,2364.1648,,,
16.3659,2476.58,,,
16.3879,2339.208,,,
16.4099,2408.3569,,,
16.4319,2363.6062,,,
16.4539,2369.6902,,,
16.4759,2341.6209,,,
16.4979,2336.0256,,,
16.5199,2398.2418,,,
16.5419,2344.4238,,,
16.5639,2331.9386,,,
16.5859,2354.9439,,,
16.6079,2320.3078,,,
16.6299,2360.6874,,,
16.6519,2416.3671,,,
16.6739,2305.4455,,,
16.6959,2378.1327,,,
16.7179,2373.5399,,,
16.7399,2389.2398,,,
16.7619,2334.2379,,,
16.7839,2329,,,
16.8059,2335.0787,,,
16.8279,2341.765,,,
16.8499,2337.0532,,,
16.8719,2353.9458,,,
16.8939,2334.476,,,
16.9159,2387.0589,,,
16.9379,2351.6008,,,
16.9599,2385.1898,,,
16.9819,2434.2419,,,
17.0039,2404.2777,,,
17.0259,2340.1898,,,
17.0479,2355.8186,,,
17.0699,2325.4679,,,
17.0919,2270.7444,,,
17.1139,2314.2508,,,
17.1359,2351.1799,,,
17.1579,2317.0275,,,
17.1799,2304.2788,,,
17.2019,2322.9459,,,
17.2239,2303.9198,,,
17.2459,2327.2125,,,
17.2679,2311.9389,,,
17.2899,2291.9893,,,
17.3119,2295.8451,,,
17.3339,2283.4268,,,
17.3559,2312.3432,,,
17.3779,2320.6578,,,
17.3999,2307.0939,,,
17.4219,2284.6273,,,
17.4439,2270.8363,,,
17.4659,2298.6716,,,
17.4879,2330.7758,,,
17.5099,2295.4749,,,
17.5319,2283.5467,,,
17.5539,2269.9508,,,
17.5759,2292.3791,,,
17.5979,2308.5939,,,
17.6199,2293.9164,,,
17.6419,2257.5221,,,
17.6639,2222.0634,,,
17.6859,2286.1869,,,
17.7079,2278.351,,,
17.7299,2265.2448,,,
17.7519,2277.6819,,,
17.7739,2341.4662,,,
17.7959,2319.3357,,,
17.8179,2254.7649,,,
17.8399,2253.3938,,,
17.8619,2277.5231,,,
17.8839,2309.9927,,,
17.9059,2322.9086,,,
17.9279,2156.9177,,,
17.9499,2265.3305,,,
17.9719,2177.7329,,,
17.9939,2295.0228,,,
18.0159,2228.7197,,,
18.0379,2251.0443,,,
18.0599,2263.7227,,,
18.0819,2216.5191,,,
18.1039,2193.1255,,,
18.1259,2277.7247,,,
18.1479,2260.8403,,,
18.1699,2362.8966,,,
18.1919,2260.4051,,,
18.2139,2262.462,,,
18.2359,2182.3319,,,
18.2579,2208.5496,,,
18.2799,2181.1037,,,
18.3019,2161.0855,,,
18.3239,2146.7071,,,
18.3459,2220.8477,,,
18.3679,2298.8717,,,
18.3899,2274.2271,,,
18.4119,2245.942,,,
18.4339,2254.0972,,,
18.4559,2162.2376,,,
18.4779,2226.529,,,
18.4999,2183.9512,,,
18.5219,2127.6805,,,
18.5439,2188.0757,,,
18.5659,2195.5547,,,
18.5879,2283.2532,,,
18.6099,2267.0362,,,
18.6319,2187.5575,,,
18.6539,2169.756,,,
18.6759,2142.7833,,,
18.6979,2218,,,
18.7199,2229.1612,,,
18.7419,2212.8417,,,
18.7639,2229.9868,,,
18.7859,2253.8426,,,
18.8079,2220.6593,,,
18.8299,2230.4867,,,
18.8519,2167.7398,,,
18.8739,2137.1663,,,
18.8959,2152.2683,,,
18.9179,2114.5998,,,
18.9399,2119.8181,,,
18.9619,2130.0414,,,
18.9839,2144.6583,,,
19.0059,2142.6028,,,
19.0279,2185.6505,,,
19.0499,2199.5103,,,
19.0719,2179.6617,,,
19.0939,2148.8259,,,
19.1159,2170.0817,,,
19.1379,2144.5053,,,
19.1599,2121.5177,,,
19.1819,2124.7365,,,
19.2039,2189.4593,,,
19.2259,2230.2301,,,
19.2479,2178.673,,,
19.2699,2182.9922,,,
19.2919,2152.7713,,,
19.3139,2200.8133,,,
19.3359,2236.3796,,,
19.3579,2235.5959,,,
19.3799,2186.4237,,,
19.4019,2124.1278,,,
19.4239,2181.155,,,
19.4459,2174.6971,,,
19.4679,2166.2906,,,
19.4899,2135.1917,,,
19.5119,2120.4833,,,
19.5339,2180.6304,,,
19.5559,2160.2418,,,
19.5779,2124.7758,,,
19.5999,2193.5168,,,
19.6219,2151.0796,,,
19.6439,2191.8491,,,
19.6659,2176.3982,,,
19.6879,2220.8673,,,
19.7099,2202.7345,,,
19.7319,2192.7119,,,
19.7539,2139.3716,,,
19.7759,2141.5492,,,
19.7979,2174.2282,,,
