Pos. [°2?],Intensity [Counts]
16.4979,2367.0816
16.5199,2347.2434
16.5419,2381.0747
16.5639,2340.0123
16.5859,2343.0502
16.6079,2395.3196
16.6299,2394.8977
16.6519,2331.1991
16.6739,2308.3304
16.6959,2373.4927
16.7179,2438.4689
16.7399,2349.7325
16.7619,2335.2655
16.7839,2347.0162
16.8059,2357.1317
16.8279,2365.4701
16.8499,2408.292
16.8719,2383.8357
16.8939,2348.2311
16.9159,2347.5427
16.9379,2351.4032
16.9599,2391.913
16.9819,2372.7669
17.0039,2332.3923
17.0259,2335.1584
17.0479,2386.7523
17.0699,2404.8289
17.0919,2366.5791
17.1139,2347.1062
17.1359,2344.9552
17.1579,2333.9863
17.1799,2299.3568
17.2019,2290.8083
17.2239,2295.8411
17.2459,2291.7169
17.2679,2281.6597
17.2899,2291.5497
17.3119,2318.733
17.3339,2291.8623
17.3559,2273.0821
17.3779,2232.2684
17.3999,2289.3182
17.4219,2343
17.4439,2294.2787
17.4659,2244.0688
17.4879,2249.7478
17.5099,2291.8113
17.5319,2252.7654
17.5539,2279.7592
17.5759,2327.0207
17.5979,2276.6223
17.6199,2292.4779
17.6419,2280.2389
17.6639,2175.7875
17.6859,2200.2921
17.7079,2248.9897
17.7299,2273.8506
17.7519,2275.5855
17.7739,2195.7403
17.7959,2158.0944
17.8179,2305.5046
17.8399,2272.5132
17.8619,2223.0176
17.8839,2132.6577
17.9059,2227.0119
17.9279,2237.2906
17.9499,2257.1397
17.9719,2179.2152
17.9939,2181.4602
18.0159,2234.3772
18.0379,2160.7964
18.0599,2239.0822
18.0819,2193.5191
18.1039,2093.1579
18.1259,2200.3442
18.1479,2226.6677
18.1699,2284.8583
18.1919,2179.1769
18.2139,2147.5802
18.2359,2188.7832
18.2579,2218.8869
18.2799,2177.4971
18.3019,2191.4484
18.3239,2199.3535
18.3459,2219.7492
18.3679,2158.5753
18.3899,2184.8054
18.4119,2209.4464
18.4339,2189.3186
18.4559,2213.4336
18.4779,2188.6892
18.4999,2153.3407
18.5219,2176.5153
18.5439,2223.8919
