Pos. [°2?],Intensity [Counts]
12.3839,3018.0225
12.4059,3071.355
12.4279,3008.4527
12.4499,3038.3471
12.4719,2983.7325
12.4939,2926.1681
12.5159,3000.798
12.5379,2970.9754
12.5599,2970.5207
12.5819,2940.7581
12.6039,2922.2119
12.6259,2897.4749
12.6479,2878.8407
12.6699,2971.6618
12.6919,2916.3274
12.7139,3061.5448
12.7359,2885.2656
12.7579,2993.885
12.7799,3052.4592
12.8019,3037.6805
12.8239,3148.6445
12.8459,3085.2743
12.8679,3055.7325
12.8899,2997.1858
12.9119,2945.5449
12.9339,3101.1622
12.9559,3016.7286
12.9779,2969.0285
12.9999,2989.4995
13.0219,2987.292
13.0439,2929.9056
13.0659,2922.6155
13.0879,2942.3629
13.1099,2959.9331
13.1319,2917.4484
13.1539,2968.3245
13.1759,2943.4553
13.1979,2994.5291
13.2199,3065.4454
13.2419,3045.9411
13.2639,3092.4454
13.2859,3042.3452
13.3079,3078.4238
13.3299,3058.29
13.3519,3065.0473
13.3739,3101.7757
13.3959,3037.4626
13.4179,3039.8732
13.4399,3049.1902
13.4619,3020.7758
13.4839,3040.8584
13.5059,3086.5753
13.5279,3124.3525
13.5499,3120.8525
13.5719,3120.5797
13.5939,3149.6637
13.6159,3154.882
13.6379,3172.5959
13.6599,3175.8505
13.6819,3224.5665
13.7039,3265.0241
13.7259,3241.1111
13.7479,3262.9101
13.7699,3337.4111
13.7919,3344.3407
13.8139,3395.5429
13.8359,3415.7025
13.8579,3424.5428
13.8799,3503.1594
13.9019,3608.3118
13.9239,3724.2749
13.9459,3707.6872
13.9679,3743.859
13.9899,3783.2488
14.0119,3888.1476
14.0339,3984.7552
14.0559,4059.2744
14.0779,4135.9204
14.0999,4210.0443
14.1219,4444.5027
14.1439,4621.4175
14.1659,4798.6521
14.1879,4935.0812
14.2099,5040.596
14.2319,5228.1649
14.2539,5398.7878
14.2759,5359.1504
14.2979,5740.1803
14.3199,5732.1061
14.3419,5812.1712
14.3639,5720.7683
14.3859,5572.3568
14.4079,5277.2165
14.4299,4992.3164
14.4519,4766.5445
14.4739,4322.8669
14.4959,4092.165
14.5179,3962.2496
14.5399,3744.8967
14.5619,3731.2231
14.5839,3554.9795
14.6059,3200.4278
14.6279,3296.5554
14.6499,3089.1682
14.6719,3138.429
14.6939,2944.3018
14.7159,2928.9961
14.7379,3003.2595
14.7599,2936.3411
14.7819,2858.996
14.8039,2813.5782
14.8259,2810.4326
14.8479,2745.9744
14.8699,2687.0264
14.8919,2615.389
14.9139,2728.6815
14.9359,2786.3701
14.9579,2679.467
14.9799,2624.8176
15.0019,2649.3747
15.0239,2680.2443
15.0459,2642.0698
15.0679,2635.3053
15.0899,2627.1072
15.1119,2610.3092
15.1339,2613.6313
15.1559,2605.6829
15.1779,2599.6677
15.1999,2600.6932
15.2219,2616.2636
15.2439,2609.1961
15.2659,2576.2744
15.2879,2605.8712
15.3099,2551.2831
15.3319,2465.2669
15.3539,2467.2066
15.3759,2505.3116
15.3979,2491.1593
15.4199,2494.9488
15.4419,2512.8555
15.4639,2522.5177
15.4859,2461.8927
15.5079,2480.6643
15.5299,2505.1534
15.5519,2483.2429
15.5739,2453.1278
15.5959,2460.8127
15.6179,2388.5623
15.6399,2460.1
15.6619,2491.1238
15.6839,2485.7827
15.7059,2442.0746
15.7279,2464.5532
15.7499,2534.9843
15.7719,2549.0138
15.7939,2478.463
15.8159,2519.7046
15.8379,2548.2065
15.8599,2508.6194
15.8819,2485.119
15.9039,2457.2841
15.9259,2531.6048
15.9479,2474.3047
15.9699,2553.537
15.9919,2594.2522
16.0139,2518.7865
16.0359,2525.8452
16.0579,2554.8938
16.0799,2723.5621
16.1019,2782.4366
16.1239,2775.3613
16.1459,2715.0078
16.1679,2563.6616
16.1899,2406.5161
16.2119,2461.1667
16.2339,2414.293
16.2559,2418.7832
16.2779,2430.7758
16.2999,2363.4345
16.3219,2307.8702
16.3439,2286.3275
16.3659,2305.0364
16.3879,2335.9896
16.4099,2288.467
16.4319,2255.036
16.4539,2392.2478
16.4759,2364.8288
16.4979,2296.3973
16.5199,2310.0088
16.5419,2253.5221
16.5639,2233.5276
16.5859,2269.7258
16.6079,2337.2482
16.6299,2263.9066
16.6519,2247.854
16.6739,2244.6056
16.6959,2192.3791
16.7179,2215.0501
16.7399,2208.8305
16.7619,2278.2724
16.7839,2286.4159
16.8059,2298.8545
16.8279,2310.3888
16.8499,2233.0089
16.8719,2239.0605
16.8939,2239.9292
16.9159,2253.4307
16.9379,2266.9498
16.9599,2263.5506
16.9819,2236.2743
17.0039,2248.0085
17.0259,2345.5733
17.0479,2303.8627
17.0699,2246.3609
17.0919,2241.4664
17.1139,2230.2184
17.1359,2268.9665
17.1579,2232.5408
17.1799,2191.4291
17.2019,2222.1879
17.2239,2300.7852
17.2459,2274.2742
17.2679,2267.9961
17.2899,2290.6263
17.3119,2352.9618
17.3339,2383.8623
17.3559,2239.6123
17.3779,2192.0945
17.3999,2219.5674
17.4219,2214.2773
17.4439,2298.0533
17.4659,2241.5691
17.4879,2159.3362
17.5099,2100.7964
17.5319,2194.6064
17.5539,2281.6274
17.5759,2207.6886
17.5979,2187.532
17.6199,2207.8904
17.6419,2189.9557
17.6639,2224.3167
17.6859,2185.7797
17.7079,2164.5383
17.7299,2203.4189
17.7519,2240.559
17.7739,2222.4867
17.7959,2221.9764
17.8179,2192.6991
17.8399,2191.2699
17.8619,2155.6165
17.8839,2191.2926
17.9059,2166.7109
17.9279,2161.1937
17.9499,2134.4523
17.9719,2174.6756
17.9939,2127.2389
18.0159,2186.8526
18.0379,2107.0441
18.0599,2191.9205
18.0819,2115.8544
18.1039,2121.9911
18.1259,2116.5094
18.1479,2150.4724
18.1699,2061.6757
18.1919,2200.6577
18.2139,2136.0491
18.2359,2109.9337
18.2579,2142.762
18.2799,2110.1977
18.3019,2122.2331
18.3239,2138.8413
18.3459,2179.8928
18.3679,2140.8098
18.3899,2168.3559
18.4119,2140.0413
18.4339,2150.7611
18.4559,2152.4222
18.4779,2052.3707
18.4999,2069.0754
18.5219,2187.06
18.5439,2190.9243
18.5659,2211.2212
18.5879,2162.5086
18.6099,2043.6834
18.6319,2058.8894
18.6539,2067.175
18.6759,2087.7419
18.6979,2074.9999
18.7199,2078.3739
18.7419,2169.1042
18.7639,2129.9661
18.7859,2113.0275
18.8079,2076.5751
18.8299,2061.9027
18.8519,2102.3225
18.8739,2107.7699
18.8959,2081.1518
18.9179,2061.006
18.9399,2112.6156
18.9619,2102.8229
18.9839,2049.2477
19.0059,2002.1917
19.0279,2024.2169
19.0499,2043.9704
19.0719,2023.796
19.0939,2033.1003
19.1159,2107.1575
19.1379,2110.7718
19.1599,2031.2329
19.1819,2037.2243
19.2039,2019.11
19.2259,2030.6992
19.2479,2129.2327
19.2699,2116.5033
19.2919,2149.5281
19.3139,2139.6735
19.3359,2115.1716
19.3579,2052.6223
19.3799,2072.7189
19.4019,2080.1003
19.4239,2007.2786
19.4459,2040.8447
19.4679,2039.3849
19.4899,2039.2065
19.5119,2067.7955
19.5339,2041.3834
19.5559,2015.9336
19.5779,2063.9735
19.5999,2039.8348
19.6219,2054.239
19.6439,2048.5197
19.6659,2098.5743
19.6879,2090.0442
19.7099,2060.1396
19.7319,2040.6017
19.7539,2162.7229
19.7759,2132.7694
19.7979,2011.5141
19.8199,2046.2877
19.8419,2021.7433
19.8639,2034.7866
19.8859,2020.0442
19.9079,2070.0467
19.9299,2076.8605
19.9519,2157.6415
19.9739,2064.8192
19.9959,2117.9099
20.0179,2041.3098
20.0399,2101.611
20.0619,2004.5812
20.0839,2065.6003
20.1059,2049.2015
20.1279,2024.977
20.1499,2078.3538
20.1719,1991.2116
20.1939,2105.6833
20.2159,2057.5398
20.2379,2060.0894
